0 1 0
0 1.04 0
0 1.08 0
0 1.12 0
0 1.16 0
0 1.2 0.0130548
0 1.24 0
0 1.28 0
0 1.32 0
0 1.36 0.0078329
0 1.4 0.0339426
0 1.44 0.234987
0 1.48 0
0 1.52 0
0 1.56 0
0 1.6 0
0 1.64 0
0 1.68 0
0 1.72 0
0 1.76 0
0 1.8 0
0 1.84 0
0 1.88 0
0 1.92 0
0 1.96 0
0.01 1 0
0.01 1.04 0
0.01 1.08 0
0.01 1.12 0
0.01 1.16 0
0.01 1.2 0.0156658
0.01 1.24 0.0182768
0.01 1.28 0
0.01 1.32 0
0.01 1.36 0
0.01 1.4 0.227154
0.01 1.44 0.177546
0.01 1.48 0
0.01 1.52 0
0.01 1.56 0
0.01 1.6 0.0156658
0.01 1.64 0.0104439
0.01 1.68 0
0.01 1.72 0
0.01 1.76 0
0.01 1.8 0
0.01 1.84 0
0.01 1.88 0
0.01 1.92 0
0.01 1.96 0
0.02 1 0
0.02 1.04 0
0.02 1.08 0
0.02 1.12 0
0.02 1.16 0.0104439
0.02 1.2 0
0.02 1.24 0
0.02 1.28 0.0104439
0.02 1.32 0
0.02 1.36 0
0.02 1.4 0.159269
0.02 1.44 0.263708
0.02 1.48 0
0.02 1.52 0
0.02 1.56 0
0.02 1.6 0.0130548
0.02 1.64 0
0.02 1.68 0
0.02 1.72 0
0.02 1.76 0
0.02 1.8 0
0.02 1.84 0
0.02 1.88 0
0.02 1.92 0
0.02 1.96 0
0.03 1 0
0.03 1.04 0
0.03 1.08 0
0.03 1.12 0
0.03 1.16 0
0.03 1.2 0
0.03 1.24 0
0.03 1.28 0.00522193
0.03 1.32 0.0182768
0.03 1.36 0.0156658
0.03 1.4 0.253264
0.03 1.44 0.511749
0.03 1.48 0.00261097
0.03 1.52 0.0156658
0.03 1.56 0.0130548
0.03 1.6 0.00522193
0.03 1.64 0.00522193
0.03 1.68 0.0208877
0.03 1.72 0
0.03 1.76 0
0.03 1.8 0
0.03 1.84 0
0.03 1.88 0
0.03 1.92 0
0.03 1.96 0
0.04 1 0
0.04 1.04 0
0.04 1.08 0
0.04 1.12 0
0.04 1.16 0
0.04 1.2 0
0.04 1.24 0
0.04 1.28 0
0.04 1.32 0.0130548
0.04 1.36 0.0287206
0.04 1.4 0.302872
0.04 1.44 0.454308
0.04 1.48 0.0156658
0.04 1.52 0
0.04 1.56 0.00522193
0.04 1.6 0.0104439
0.04 1.64 0
0.04 1.68 0.0078329
0.04 1.72 0.0104439
0.04 1.76 0
0.04 1.8 0
